	word	sentiment	sentiment_average
849	win	1.2604	0.3151
850	electr	1.2673	0.63365
851	live	1.2674	0.115218182
852	think	1.2691	0.1813
853	fantast	1.308	0.654
854	case	1.3422	0.26844
855	first	1.3461	0.061186364
856	import	1.3617	0.1513
857	repli	1.3694	0.6847
858	statist	1.4001	0.05385
859	truli	1.4265	0.71325
860	certain	1.4308	0.476933333
861	question	1.4329	0.2047
862	experi	1.4595	0.066340909
863	awesom	1.4712	0.7356
864	compet	1.4717	0.73585
865	issu	1.4751	0.14751
866	secur	1.493	0.37325
867	sit	1.5003	0.088252941
868	compon	1.528	0.1528
869	detail	1.5294	0.2549
870	interest	1.5742	0.196775
871	download	1.577	0.262833333
872	stai	1.599	0.228428571
873	hand	1.6068	0.178533333
874	item	1.6154	0.8077
875	famili	1.6208	0.2026
876	excel	1.6386	0.8193
877	imagin	1.6508	0.16508
878	spend	1.7063	0.243757143
879	check	1.7111	0.155554545
880	strict	1.7222	0.287033333
881	walk	1.7246	0.246371429
882	eat	1.7367	0.434175
883	fun	1.7575	0.585833333
884	hope	1.7835	0.3567
885	need	1.7865	0.07146
886	pleas	1.7921	0.597366667
887	framework	1.8088	0.602933333
888	aeroplan	1.827	0.609
889	amaz	1.8721	0.624033333
890	rememb	1.921	0.128066667
891	bank	1.9268	0.214088889
892	seriou	1.9511	0.487775
893	adventur	1.9708	0.4927
894	morbid	2.0902	0.696733333
895	write	2.1753	0.43506
896	excit	2.2145	0.2768125
897	big	2.2407	0.117931579
898	region	2.2538	0.375633333
899	super	2.2847	0.571175
900	top	2.3084	0.769466667
901	run	2.3175	0.210681818
902	success	2.396	0.342285714
903	seat	2.4296	0.15185
904	eas	2.4812	0.49624
905	honestli	2.5054	0.417566667
906	posit	2.51	0.31375
907	record	2.6624	0.53248
908	reassur	2.7105	0.45175
909	train	2.8116	0.080331429
910	lot	2.8974	0.120725
911	bumpi	2.9243	0.417757143
912	place	3.0392	0.233784615
913	entertain	3.0434	0.76085
914	believ	3.1715	0.528583333
915	happi	3.2717	0.65434
916	perfectli	3.4356	0.68712
917	relax	3.4735	0.496214286
918	advic	3.6149	0.516414286
919	calm	3.8765	0.24228125
920	trust	3.9807	0.39807
921	start	4.0647	0.213931579
922	friend	4.1325	0.375681818
923	enjoi	4.1568	0.377890909
924	fine	4.2743	0.213715
925	time	4.5138	0.060184
926	mind	4.6542	0.186168
927	great	4.6686	0.38905
928	bring	4.8448	0.372676923
929	understand	4.8613	0.285958824
930	sure	5.4629	0.210111538
931	ok	5.7579	0.57579
932	world	5.9364	0.4947
933	also	6.1794	0.104735593
934	thank	7.3493	0.45933125
935	love	8.5069	0.53168125
936	well	8.9909	0.290029032
937	best	9.296	0.664
938	safeti	9.3939	0.3914125
939	much	11.5419	0.262315909
940	help	14.5874	0.265225455
941	good	16.3337	0.429834211
942	safe	23.253	0.455941176
