	word	sentiment	sentiment_average
182	exhaust	-1.147	-0.5735
183	opinion	-1.1454	-0.5727
184	runwai	-1.1214	-0.28035
185	situat	-1.1185	-0.11185
186	concentr	-1.1123	-0.55615
187	sensat	-1.105	-0.5525
188	recov	-1.0957	-0.54785
189	thought	-1.0943	-0.091191667
190	firebal	-1.0927	-0.54635
191	break	-1.0865	-0.120722222
192	stair	-1.0822	-0.5411
193	target	-1.0805	-0.54025
194	mental	-1.0775	-0.269375
195	distract	-1.0757	-0.153671429
196	bore	-1.0722	-0.26805
197	turn	-1.0714	-0.082415385
198	tini	-1.0692	-0.5346
199	rid	-1.0521	-0.17535
200	intens	-1.036	-0.2072
201	mom	-1.035	-0.5175
202	appar	-1.033	-0.344333333
203	weight	-1.0293	-0.51465
204	tend	-1.0176	-0.5088
205	indic	-1.0143	-0.50715
206	mistak	-1.0085	-0.168083333
207	chain	-1.0049	-0.50245
208	type	-0.9887	-0.329566667
209	progress	-0.9728	-0.4864
210	larg	-0.9694	-0.138485714
211	quickli	-0.9584	-0.4792
212	sound	-0.9577	-0.159616667
213	movi	-0.9576	-0.1064
214	person	-0.9566	-0.068328571
215	brake	-0.9541	-0.318033333
216	storm	-0.9504	-0.3168
217	scream	-0.9393	-0.234825
218	rate	-0.9209	-0.46045
219	physic	-0.9175	-0.1835
220	fourth	-0.9171	-0.45855
221	hyster	-0.9145	-0.45725
222	strategi	-0.9094	-0.151566667
223	similar	-0.909	-0.1818
224	name	-0.9082	-0.4541
225	wait	-0.9005	-0.225125
226	ear	-0.8978	-0.22445
227	traffic	-0.8977	-0.224425
228	fellow	-0.8958	-0.4479
229	cover	-0.8958	-0.2986
230	burn	-0.8938	-0.297933333
231	street	-0.8908	-0.296933333
232	climb	-0.8872	-0.4436
233	separ	-0.886	-0.443
234	heavi	-0.8814	-0.2938
235	bone	-0.8812	-0.4406
236	weather	-0.8757	-0.2919
237	natur	-0.875	-0.125
238	glider	-0.8749	-0.43745
239	undergo	-0.8722	-0.290733333
240	sky	-0.8667	-0.0963
241	past	-0.8655	-0.123642857
242	ocean	-0.8653	-0.216325
243	happen	-0.8565	-0.42825
244	throat	-0.8515	-0.42575
245	result	-0.8501	-0.17002
246	sorri	-0.8408	-0.4204
247	minor	-0.8294	-0.16588
248	factor	-0.8258	-0.16516
249	blood	-0.8225	-0.41125
250	cycl	-0.8201	-0.41005
251	exampl	-0.8199	-0.117128571
252	behavior	-0.8191	-0.40955
253	right	-0.8163	-0.074209091
254	realiti	-0.8105	-0.202625
255	short	-0.8096	-0.134933333
256	sweat	-0.8074	-0.4037
257	taxi	-0.8055	-0.40275
258	human	-0.8041	-0.114871429
259	counsel	-0.8028	-0.4014
260	appalachian	-0.802	-0.401
261	xanax	-0.7925	-0.066041667
262	loung	-0.7922	-0.3961
263	departur	-0.7922	-0.3961
264	neg	-0.7913	-0.39565
265	leg	-0.7906	-0.263533333
266	reach	-0.7906	-0.3953
267	ride	-0.7879	-0.15758
268	silli	-0.7868	-0.3934
269	base	-0.7866	-0.2622
270	act	-0.7791	-0.2597
271	worth	-0.7783	-0.259433333
272	object	-0.7681	-0.192025
273	phase	-0.7673	-0.255766667
274	crush	-0.7561	-0.37805
275	unabl	-0.7558	-0.251933333
276	relat	-0.7552	-0.3776
277	attent	-0.7514	-0.18785
278	ic	-0.7501	-0.250033333
279	confid	-0.7459	-0.37295
280	forget	-0.7393	-0.246433333
281	damag	-0.7389	-0.2463
282	design	-0.7307	-0.07307
283	middl	-0.7269	-0.2423
284	carri	-0.7216	-0.240533333
285	evolv	-0.7198	-0.3599
286	scrap	-0.7184	-0.3592
287	commun	-0.7142	-0.3571
288	awar	-0.7122	-0.14244
289	averag	-0.71	-0.1775
290	truck	-0.7096	-0.3548
291	paperwork	-0.7096	-0.3548
292	sell	-0.7096	-0.3548
293	adult	-0.7089	-0.35445
294	vulner	-0.7079	-0.35395
295	knowledg	-0.7054	-0.14108
296	multipl	-0.7003	-0.35015
297	end	-0.6929	-0.076988889
298	claustrophob	-0.6908	-0.3454
299	numer	-0.6905	-0.34525
300	allow	-0.6903	-0.172575
301	self	-0.6897	-0.34485
302	notic	-0.688	-0.114666667
303	bathroom	-0.6869	-0.34345
304	cabin	-0.6859	-0.228633333
305	at	-0.683	-0.227666667
306	extra	-0.6808	-0.3404
307	rigor	-0.6807	-0.34035
308	occurr	-0.6793	-0.33965
309	reaction	-0.6789	-0.169725
310	entir	-0.672	-0.061090909
311	turbul	-0.6681	-0.011323729
312	enclos	-0.6617	-0.33085
313	recent	-0.6612	-0.13224
314	med	-0.6604	-0.220133333
315	light	-0.6542	-0.081775
316	strip	-0.6486	-0.3243
317	dad	-0.645	-0.215
318	navi	-0.637	-0.212333333
319	video	-0.6369	-0.159225
320	flaw	-0.6367	-0.31835
321	overact	-0.6361	-0.31805
322	road	-0.6249	-0.31245
323	bare	-0.6249	-0.31245
324	apprehens	-0.6168	-0.3084
325	deep	-0.6154	-0.3077
